brand_model_year,family car,fuel-efficient car,comfortable car,luxury car,sporty car,quiet car,commuter car,stylish car,affordable car,compact car,spacious car,sexy car
HONDA ACCORD 2016,0.08333333333333333,0.9166666666666666,1.0,0.1111111111111111,0.25,0.3888888888888889,0.0,0.16666666666666666,0.4722222222222222,0.1111111111111111,0.3055555555555556,0.0
HONDA ACCORD 2017,0.0,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.1111111111111111,1.0,0.0,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0
HONDA CIVIC 2016,0.0,1.0,0.75,0.075,0.4,0.275,0.1,0.225,0.175,0.675,0.1,0.05
HONDA CIVIC 2017,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333
HONDA CR-V 2016,0.08108108108108109,1.0,0.8378378378378378,0.05405405405405406,0.13513513513513514,0.5675675675675675,0.05405405405405406,0.05405405405405406,0.5135135135135135,0.21621621621621623,0.3783783783783784,0.0
HONDA CR-V 2017,0.0,1.0,0.8,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0
HONDA CR-Z 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
HONDA FIT 2016,0.0,1.0,0.18181818181818182,0.0,0.22727272727272727,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.22727272727272727,0.5909090909090909,0.18181818181818182,0.0
HONDA FIT 2017,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
HONDA HR-V 2016,0.027777777777777776,1.0,0.8055555555555556,0.1111111111111111,0.08333333333333333,0.6111111111111112,0.027777777777777776,0.3611111111111111,0.2777777777777778,0.3055555555555556,0.16666666666666666,0.0
HONDA HR-V 2017,0.6666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
HONDA ODYSSEY 2016,0.4,0.5333333333333333,1.0,0.0,0.0,0.06666666666666667,0.0,0.5333333333333333,0.2,0.0,0.2,0.0
